citymunDesc,provCode
LAKE SEBU,1263
BAGUMBAYAN,1265
COLUMBIO,1265
ESPERANZA,1265
ISULAN (Capital),1265
KALAMANSIG,1265
LEBAK,1265
LUTAYAN,1265
LAMBAYONG (MARIANO MARCOS),1265
PALIMBANG,1265
PRESIDENT QUIRINO,1265
CITY OF TACURONG,1265
SEN. NINOY AQUINO,1265
ALABEL (Capital),1280
GLAN,1280
KIAMBA,1280
MAASIM,1280
MAITUM,1280
MALAPATAN,1280
MALUNGON,1280
COTABATO CITY,1298
TONDO I / II,1339
BINONDO,1339
QUIAPO,1339
SAN NICOLAS,1339
SANTA CRUZ,1339
SAMPALOC,1339
SAN MIGUEL,1339
ERMITA,1339
INTRAMUROS,1339
MALATE,1339
PACO,1339
PANDACAN,1339
PORT AREA,1339
SANTA ANA,1339
CITY OF MANDALUYONG,1374
CITY OF MARIKINA,1374
CITY OF PASIG,1374
QUEZON CITY,1374
CITY OF SAN JUAN,1374
CALOOCAN CITY,1375
CITY OF MALABON,1375
CITY OF NAVOTAS,1375
CITY OF VALENZUELA,1375
CITY OF LAS PIÑAS,1376
CITY OF MAKATI,1376
CITY OF MUNTINLUPA,1376
CITY OF PARAÑAQUE,1376
PASAY CITY,1376
PATEROS,1376
TAGUIG CITY,1376
BANGUED (Capital),1401
BOLINEY,1401
BUCAY,1401
BUCLOC,1401
DAGUIOMAN,1401
DANGLAS,1401
DOLORES,1401
LA PAZ,1401
LACUB,1401
LAGANGILANG,1401
LAGAYAN,1401
LANGIDEN,1401
LICUAN-BAAY (LICUAN),1401
LUBA,1401
MALIBCONG,1401
MANABO,1401
PEÑARRUBIA,1401
PIDIGAN,1401
PILAR,1401
SALLAPADAN,1401
SAN ISIDRO,1401
SAN JUAN,1401
SAN QUINTIN,1401
TAYUM,1401
TINEG,1401
TUBO,1401
VILLAVICIOSA,1401
ATOK,1411
BAGUIO CITY,1411
BAKUN,1411
BOKOD,1411
BUGUIAS,1411
ITOGON,1411
KABAYAN,1411
KAPANGAN,1411
KIBUNGAN,1411
LA TRINIDAD (Capital),1411
MANKAYAN,1411
SABLAN,1411
TUBA,1411
TUBLAY,1411
BANAUE,1427
HUNGDUAN,1427
KIANGAN,1427
LAGAWE (Capital),1427
LAMUT,1427
MAYOYAO,1427
ALFONSO LISTA (POTIA),1427
AGUINALDO,1427
HINGYON,1427
TINOC,1427
ASIPULO,1427
BALBALAN,1432
LUBUAGAN,1432
PASIL,1432
PINUKPUK,1432
RIZAL (LIWAN),1432
CITY OF TABUK (Capital),1432
TANUDAN,1432
TINGLAYAN,1432
BARLIG,1444
BAUKO,1444
BESAO,1444
BONTOC (Capital),1444
NATONIN,1444
PARACELIS,1444
SABANGAN,1444
SADANGA,1444
SAGADA,1444
TADIAN,1444
CALANASAN (BAYAG),1481
CONNER,1481
FLORA,1481
KABUGAO (Capital),1481
LUNA,1481
PUDTOL,1481
SANTA MARCELA,1481
CITY OF LAMITAN,1507
LANTAWAN,1507
MALUSO,1507
SUMISIP,1507
TIPO-TIPO,1507
TUBURAN,1507
AKBAR,1507
AL-BARKA,1507
HADJI MOHAMMAD AJUL,1507
UNGKAYA PUKAN,1507
HADJI MUHTAMAD,1507
TABUAN-LASA,1507
BACOLOD-KALAWI (BACOLOD GRANDE),1536
BALABAGAN,1536
BALINDONG (WATU),1536
BAYANG,1536
BINIDAYAN,1536
BUBONG,1536
BUTIG,1536
GANASSI,1536
KAPAI,1536
LUMBA-BAYABAO (MAGUING),1536
LUMBATAN,1536
MADALUM,1536
MADAMBA,1536
MALABANG,1536
MARANTAO,1536
MARAWI CITY (Capital),1536
MASIU,1536
MULONDO,1536
PAGAYAWAN (TATARIKAN),1536
PIAGAPO,1536
POONA BAYABAO (GATA),1536
PUALAS,1536
DITSAAN-RAMAIN,1536
SAGUIARAN,1536
TAMPARAN,1536
TARAKA,1536
TUBARAN,1536
TUGAYA,1536
WAO,1536
MAROGONG,1536
CALANOGAS,1536
BUADIPOSO-BUNTONG,1536
MAGUING,1536
PICONG (SULTAN GUMANDER),1536
LUMBAYANAGUE,1536
BUMBARAN,1536
TAGOLOAN II,1536
KAPATAGAN,1536
SULTAN DUMALONDONG,1536
LUMBACA-UNAYAN,1536
AMPATUAN,1538
BULDON,1538
BULUAN,1538
DATU PAGLAS,1538
DATU PIANG,1538
DATU ODIN SINSUAT (DINAIG),1538
SHARIFF AGUAK (MAGANOY) (Capital),1538
MATANOG,1538
PAGALUNGAN,1538
PARANG,1538
SULTAN KUDARAT (NULING),1538
SULTAN SA BARONGIS (LAMBAYONG),1538
KABUNTALAN (TUMBAO),1538
UPI,1538
TALAYAN,1538
SOUTH UPI,1538
BARIRA,1538
GEN. S. K. PENDATUN,1538
MAMASAPANO,1538
TALITAY,1538
PAGAGAWAN,1538
PAGLAT,1538
SULTAN MASTURA,1538
GUINDULUNGAN,1538
DATU SAUDI-AMPATUAN,1538
DATU UNSAY,1538
DATU ABDULLAH SANGKI,1538
RAJAH BUAYAN,1538
DATU BLAH T. SINSUAT,1538
DATU ANGGAL MIDTIMBANG,1538
MANGUDADATU,1538
PANDAG,1538
NORTHERN KABUNTALAN,1538
DATU HOFFER AMPATUAN,1538
DATU SALIBO,1538
SHARIFF SAYDONA MUSTAPHA,1538
INDANAN,1566
JOLO (Capital),1566
KALINGALAN CALUANG,1566
LUUK,1566
MAIMBUNG,1566
HADJI PANGLIMA TAHIL (MARUNGGAS),1566
OLD PANAMAO,1566
PANGUTARAN,1566
PARANG,1566
PATA,1566
PATIKUL,1566
SIASI,1566
TALIPAO,1566
TAPUL,1566
TONGKIL,1566
PANGLIMA ESTINO (NEW PANAMAO),1566
LUGUS,1566
PANDAMI,1566
OMAR,1566
PANGLIMA SUGALA (BALIMBING),1570
BONGAO (Capital),1570
MAPUN (CAGAYAN DE TAWI-TAWI),1570
SIMUNUL,1570
SITANGKAI,1570
SOUTH UBIAN,1570
TANDUBAS,1570
TURTLE ISLANDS,1570
LANGUYAN,1570
SAPA-SAPA,1570
SIBUTU,1570
BUENAVISTA,1602
BUTUAN CITY (Capital),1602
CITY OF CABADBARAN,1602
CARMEN,1602
JABONGA,1602
KITCHARAO,1602
LAS NIEVES,1602
MAGALLANES,1602
NASIPIT,1602
SANTIAGO,1602
TUBAY,1602
REMEDIOS T. ROMUALDEZ,1602
CITY OF BAYUGAN,1603
BUNAWAN,1603
ESPERANZA,1603
LA PAZ,1603
LORETO,1603
PROSPERIDAD (Capital),1603
ROSARIO,1603
SAN FRANCISCO,1603
SAN LUIS,1603
SANTA JOSEFA,1603
TALACOGON,1603
TRENTO,1603
VERUELA,1603
SIBAGAT,1603
ALEGRIA,1667
BACUAG,1667
BURGOS,1667
CLAVER,1667
DAPA,1667
DEL CARMEN,1667
GENERAL LUNA,1667
GIGAQUIT,1667
MAINIT,1667
MALIMONO,1667
PILAR,1667
PLACER,1667
SAN BENITO,1667
SAN FRANCISCO (ANAO-AON),1667
SAN ISIDRO,1667
SANTA MONICA (SAPAO),1667
SISON,1667
SOCORRO,1667
SURIGAO CITY (Capital),1667
TAGANA-AN,1667
TUBOD,1667
BAROBO,1668
BAYABAS,1668
CITY OF BISLIG,1668
CAGWAIT,1668
CANTILAN,1668
CARMEN,1668
CARRASCAL,1668
CORTES,1668
HINATUAN,1668
LANUZA,1668
LIANGA,1668
LINGIG,1668
MADRID,1668
MARIHATAG,1668
SAN AGUSTIN,1668
SAN MIGUEL,1668
TAGBINA,1668
TAGO,1668
CITY OF TANDAG (Capital),1668
BASILISA (RIZAL),1685
CAGDIANAO,1685
DINAGAT,1685
LIBJO (ALBOR),1685
LORETO,1685
SAN JOSE (Capital),1685
TUBAJON,1685
